Ranking,Name ,Points,Country,Racket,Year
1,Ali Farag,23090,Egypt,Dunlop,2021
2,Mohamed Elshorbagy,21025,Egypt,Tecnifibre,2021
3,Tarek Momen,16570,Egypt,Harrow,2021
4,Paul Coll,13570,Australia,Head,2021
5,Karim Abdel Gawad,11835,Egypt,Harrow,2021
6,Marwan Elshorbagy,10805,Egypt,Tecnifibre,2021
7,Diego Elias,9250,Peru,Dunlop,2021
8,Fares Dessouky,7503,Egypt,Tecnifibre,2021
9,Joel Makin,7430,Wales,Unsquashable,2021
10,Miguel Rodriguez,6470,Colombia,Tecnifibre,2021
11,Mohamed Abouelghar,5965,Egypt,Prince,2021
12,Mostafa Asal,5223,Egypt,Tecnifibre,2021
13,Saurav Ghosal,5485,India,Head,2021
14,Mazen Hesham,4800,Egypt,Eye,2021
15,Gregoire Marche,5298,France,Tecnifibre,2021
16,Omar Mosaad,4823,Egypt,Head,2021
17,James Willstrop,4578,England,Unsquashable,2021
18,Zahed Salem,3923,Egypt,Head,2021
19,Adrian Waller,3728,England,Head,2021
20,Cesar Salazar,4335,Mexico,Head,2021
21,Greg Lobban,4525,Scotland,Karakal,2021
22,Daryl Selby,3570,England,Black Knight,2021
23,Declan James,4287.5,England,Dunlop,2021
24,Mathieu Castagnet,3585,France,Ion,2021
25,Borja Golan,3480,Spain,Eye,2021
26,Eain Yow Ng,3352.5,Malaysia,Dunlop,2021
27,Youssef Soliman,3325.5,Egypt,Prince,2021
28,Raphael Kandra,3432.5,Germany,Victor,2021
29,Nicolas Mueller,3527.5,Switzerland,Wilson,2021
30,Abdulla Mohd Al Tamimi,3433,Qatar,Harrow,2021
31,Iker Pajares Bernabeu,3450,Spain,Unsquashable,2021
32,Mohamed Elsherbini,3852.5,Egypt,Tecnifibre,2021
33,Gregory Gaultier,2645,France,Dunlop,2021
34,Tom Richards,3305,England,Karakal,2021
35,Youssef Ibrahim,2780.5,Egypt,Head,2021
36,Lucas Serme,3870,France,Oliver,2021
37,Baptiste Masotti,3143.5,France,Tecnifibre,2021
38,Alan Clyne,2970,Scotland,Harrow,2021
39,Tsz Fung Yip,2515,Hong Kong,Salming,2021
40,Arturo Salazar,2413,Mexico,Black Knight,2021
41,Victor Crouin,3345,France,Dunlop,2021
42,Tayyab Aslam,3095.5,Pakistan,Head,2021
43,George Parker,2710,England,Unsquashable,2021
44,Nathan Lake,2542.5,England,Kennex,2021
45,Vikram Malhotra,2240,India,Ashaway,2021
46,Ivan Yuen,2138,Malaysia,Prince,2021
47,Mahesh Mangaonkar,1964,India,Tecnifibre,2021
48,Max Lee,1846,Hong Kong,Salming,2021
49,Edmon Lopez,1830,Spain,Hit,2021
50,Benjamin Aubert,1988.5,France,Tecnifibre,2021
1,Mohamed Elshorbagy,18935,Egypt,Tecnifibre,2020
2,Ali Farag,17025,Egypt,Dunlop,2020
3,Tarek Momen,14700,Egypt,Harrow,2020
4,Karim Abdel Gawad,12538,Egypt,Harrow,2020
5,Paul Coll,12810,New Zealand,Head,2020
6,Diego Elias,8018,Peru,Dunlop,2020
7,Simon Rosner,7440,Germany,Oliver,2020
